"operation_Name","count_total"
"MyIvecoApiTranslator-B2C;rev=1 - post-api-dashboardlight-dailychartdsescoreacceleration-lang-lang-start-start",424
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-dashboardlight-lightvehicleranking-lang-lang-start-start-end-end-pe",595
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-vehicleranking-lang-lang-fleetid-fleetid-start-start",184
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardlight-gettrip-lang-lang-vin-vin-selectedday-selectedday",184
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardlight-gettrip-lang-lang-vin-vin-selectedday-selectedday",185
"MyIvecoApiTranslator-B2C;rev=1 - deletePairedVin",432
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-getwidgetvehicles-lang-lang-vehicletype-vehicletype",123
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardlight-dselight-lang-lang",402
"acl-cnhi-myiveco-portal-2-0;rev=1 - updateDealersHQWithExtendedHQ",26
"contracts-cnhi-myiveco-portal-2-0;rev=1 - catalogsPricingGet",398
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-monitoreddrivers-lang-lang-fleetid-fleetid-start-star",404
"acl-cnhi-myiveco-portal-2-0;rev=1 - postChangePassword",26
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-dashboardlight-dailychartdsescoreacceleration-lang-lang-start-start",423
"recaller-cnhi-myiveco-portal-2-0;rev=1 - post-campaigns",174
"managements-cnhi-myiveco-portal-2-0;rev=1 - exportVehiclesList",457
"MyIvecoApiTranslator-B2C;rev=1 - post-api-dashboardlight-lightvehicleranking-lang-lang-start-start-end-end-pe",597
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardlight-gettripposition-lang-lang-vin-vin-selectedday-selecte",283
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-drivervehicleranking-lang-lang",180
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardlight-gettripposition-lang-lang-vin-vin-selectedday-selecte",282
"MyIvecoApiTranslator-B2C;rev=1 - post-api-dashboardlight-dailychartdsescoredeceleration-lang-lang-start-start",423
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-dashboardlight-dailychartdsescoredeceleration-lang-lang-start-start",424
"acl-cnhi-myiveco-portal-2-0;rev=1 - getDemoVehicles",781
"MyIvecoApiTranslatorRoot-B2C;rev=1 - deletePairedVin",431
